"","lambdas","alpha_intra","alpha_generic","gamma_H_generic","gamma_FV_generic","focal","year","complexity.plant","complexity.animal"
"1",0.885248059877824,0.175436882155497,0.0278955798973044,-0.142913569854275,-0.0247740061245158,"CHFU","All","class","group"
"2",0.890501459204275,0.123023768234297,-0.108669286299994,-0.148559472298836,-0.0425729161261614,"CHFU","All","class","group"
"3",0.898242087084452,0.254951839219838,-0.0662055833201939,-0.202417216785688,-0.0246028845061335,"CHFU","All","class","group"
"4",0.889309963444852,0.0904269456156965,0.0198609672959444,-0.0666362054356054,-0.0767889868211955,"CHFU","All","class","group"
"5",0.885840145789387,0.119139484594932,-0.0354984635727826,-0.12009397821373,-0.0508610699492302,"CHFU","All","class","group"
"6",0.895857253854975,0.0145777004339811,-0.125167550193467,-0.181291743504022,-0.125922555368364,"CHFU","All","class","group"
"7",0.895536817198091,-0.0851199944358176,-0.0937569678185233,-0.199970808709119,-0.0281376168188041,"CHFU","All","class","group"
"8",0.904552816665043,-0.00356985909504481,-0.104590033079727,-0.146958774376429,-0.0301557171531561,"CHFU","All","class","group"
"9",0.896060401129916,0.135531664365596,-0.100355527108919,-0.0424361428585002,-0.11301797964122,"CHFU","All","class","group"
"10",0.90713256064585,-0.0150599807271801,-0.0928894605736751,-0.209251650090671,-0.0811563755791165,"CHFU","All","class","group"
"11",0.89388820025159,0.188800810467963,-0.0525728469428232,-0.287758450283173,-0.121837442808093,"CHFU","All","class","group"
"12",0.901103070613544,0.177964873610605,-0.107831145775166,-0.0193949427479243,-0.055862605751412,"CHFU","All","class","group"
"13",0.902787663415386,0.109025976557906,-0.0139028340693258,-0.156399466122279,-0.140221561041411,"CHFU","All","class","group"
"14",0.902418302241265,0.0247907769563123,-0.100016318094836,-0.257175416600708,0.000730958147875297,"CHFU","All","class","group"
"15",0.896180539226395,0.115314117648073,0.0163864405452285,-0.249826389102848,-0.0374497102581369,"CHFU","All","class","group"
"16",0.905655124699147,-0.052778708449438,-0.0499015945233718,-0.104277393043576,-0.0901836987082847,"CHFU","All","class","group"
"17",0.885278385173149,0.111624382374896,-0.072144673478428,-0.171238902782433,-0.014956190833415,"CHFU","All","class","group"
"18",0.883685703177687,0.103197428199293,-0.00604112958624148,-0.181623785906452,0.00937940358407939,"CHFU","All","class","group"
"19",0.897860659381181,0.222524275019226,-0.0506304977760964,-0.056762591273951,-0.111483916522758,"CHFU","All","class","group"
"20",0.888971248692971,0.0843661654858014,-0.0670141813926829,-0.161149605489101,-0.0849897925997361,"CHFU","All","class","group"
"21",0.897624829084601,0.125101774325369,-0.119725577972885,-0.077811940418167,-0.104390991031889,"CHFU","All","class","group"
"22",0.884508217216114,0.107866555927819,-0.0905819760874891,-0.18539976508411,-0.0670199990817111,"CHFU","All","class","group"
"23",0.896895181553982,0.18615016357086,-0.0550432472322445,-0.065709122275108,-0.159625252223774,"CHFU","All","class","group"
"24",0.901125610063954,0.10365927441224,-0.112212999230629,-0.269865106422315,-0.0565082288930534,"CHFU","All","class","group"
"25",0.899305884789096,0.0456598641966171,-0.129248499882343,0.0498838412030938,-0.0567217149203367,"CHFU","All","class","group"
"26",0.907516654393453,0.0620650567625185,-0.124095578203369,-0.058882103140333,-0.088700733213273,"CHFU","All","class","group"
"27",0.885188809989886,0.128417362525673,-0.0413339738219975,-0.127853933499898,-0.0156845614569304,"CHFU","All","class","group"
"28",0.911033805690508,-0.000308012068439445,-0.162628188858638,-0.188631878438265,-0.107348927655113,"CHFU","All","class","group"
"29",0.889993575985075,0.188173437720702,-0.0461760784275557,-0.0685691162840265,-0.0719564590200787,"CHFU","All","class","group"
"30",0.880689188405168,0.140071004831672,-0.0275344864947005,-0.161566527145912,-0.0379680854694357,"CHFU","All","class","group"
"31",0.897698618623279,0.237998512870513,-0.137465511150709,-0.181332558871847,-0.0807614900364358,"CHFU","All","class","group"
"32",0.894024646133882,0.134886180375492,-0.0967331849276731,-0.275087291449993,0.0357078569198762,"CHFU","All","class","group"
"33",0.892832864455183,0.206181162905594,-0.139289233539677,-0.251426858018714,-0.0914808597224396,"CHFU","All","class","group"
"34",0.888783982997384,0.121084629309972,-0.0500196898976888,-0.023538659663316,-0.0364117794120233,"CHFU","All","class","group"
"35",0.89585436779279,0.169450053901952,-0.0305657047471977,-0.277306678677261,-0.0573107332767279,"CHFU","All","class","group"
"36",0.893599294760669,0.159399478682395,-0.0807546941836944,-0.147048306533962,-0.0158628698416753,"CHFU","All","class","group"
"37",0.881477725403933,-0.0279774215128207,-0.00507446356853658,-0.190261710270298,-0.0152461679699794,"CHFU","All","class","group"
"38",0.889965845029882,0.0447204916173187,-0.0879034263332449,0.0377457635650741,-0.213610457414678,"CHFU","All","class","group"
"39",0.904068869096748,0.184539808245567,-0.144815660805071,-0.173888593287714,-0.0910579938907962,"CHFU","All","class","group"
"40",0.903391280037508,0.0318488966998103,-0.0405204603102419,-0.0215888327850399,-0.147953692987858,"CHFU","All","class","group"
"41",0.898144530086051,-0.0753970452836144,0.0137687997108524,-0.0870474861939008,-0.115961302082766,"CHFU","All","class","group"
"42",0.911230207391038,0.0605897625912577,-0.160464579075395,-0.104620988130308,-0.0807091893132211,"CHFU","All","class","group"
"43",0.889989459883698,0.193485347902708,-0.0535645915684533,0.00646699557241186,-0.0645305522989129,"CHFU","All","class","group"
"44",0.901108006889046,0.118799464185215,-0.0541410834874783,-0.234791316790227,-0.131295437377449,"CHFU","All","class","group"
"45",0.895561832616331,0.218509485017888,-0.0278318397951499,-0.146162967106628,-0.0481192693004166,"CHFU","All","class","group"
