"","lambdas","alpha_intra","alpha_generic","gamma_H_generic","gamma_FV_generic","focal","year","complexity.plant","complexity.animal"
"1",0.85748134273033,-0.17447948683389,-0.0275613252578699,0.0791873148089432,0.0466656266795241,"LEMA","All","class","group"
"2",0.840075403653783,-0.0372384996030994,-0.00830016066709716,0.0136168367044084,0.0800989199505531,"LEMA","All","class","group"
"3",0.855069557200974,-0.00434224001883221,-0.0931876333583305,-0.0424349715249614,0.167603899808618,"LEMA","All","class","group"
"4",0.855217435925657,-0.204427989521623,-0.0244979764339669,0.0893334479214923,0.0806142055638961,"LEMA","All","class","group"
"5",0.846685977850687,-0.0633174349532705,0.0132838634769414,-0.0175643699013757,0.0530744927923081,"LEMA","All","class","group"
"6",0.842673790111555,-0.131393964157949,-0.00426409483829582,0.0389817498802438,0.109228580516588,"LEMA","All","class","group"
"7",0.847604082325359,-0.0681652944066659,-0.0251132323652435,0.0617989874666203,0.108020414160842,"LEMA","All","class","group"
"8",0.85499221797111,-0.0588779931222915,-0.0699472396738712,0.0436432683618638,0.123322263235532,"LEMA","All","class","group"
"9",0.850090515892361,0.0364933739508393,0.00496419429229533,-0.0648484888882765,0.110754846537519,"LEMA","All","class","group"
"10",0.857539387405342,-0.231797689185403,-0.0354858234571294,0.0531278478414728,0.0882674521234659,"LEMA","All","class","group"
"11",0.848440934738678,-0.0388385291073861,-0.00118295797151935,-0.00988520531571183,0.0652412623411383,"LEMA","All","class","group"
"12",0.860323941833484,0.00759798038361903,-0.0478747559549197,0.00956394829466101,0.0892685226186304,"LEMA","All","class","group"
"13",0.851882192565776,-0.0924530984553648,-0.00706518730187256,0.0764733422544376,0.0535713571317865,"LEMA","All","class","group"
"14",0.841646628283435,0.0859012676698889,0.0638515591858602,0.0861183491159832,0.0429770292809506,"LEMA","All","class","group"
"15",0.853365926074515,-0.00775677783336004,0.013521110054616,0.0166091009242167,0.0645439798680007,"LEMA","All","class","group"
"16",0.857544343656212,-0.115242613451594,-0.0257320857032607,0.0723225939416474,0.104177534329176,"LEMA","All","class","group"
"17",0.865572645425854,-0.102683536878538,-0.0139575782163734,-0.053584767554049,0.120567420576814,"LEMA","All","class","group"
"18",0.846349709329162,0.00537281842585924,0.0128247707828584,-0.0127033482830913,0.0732877403390635,"LEMA","All","class","group"
"19",0.857910972851702,-0.207827381444039,0.033201665377099,-0.00792976346060484,0.0242815856608732,"LEMA","All","class","group"
"20",0.855619600305631,0.00831325216676859,-0.0440499968628939,-0.0905747022387318,0.144640585787711,"LEMA","All","class","group"
"21",0.85738234765512,0.0852163378157913,-0.0382215917663251,-0.0308355632220089,0.0769781286568915,"LEMA","All","class","group"
"22",0.854740689509159,-0.0952247933530471,-0.0473126588842357,0.0319213648807036,0.171439250597596,"LEMA","All","class","group"
"23",0.856607190100619,-0.0930087478872906,-0.0378363560417646,-0.0338720690727899,0.110192178267394,"LEMA","All","class","group"
"24",0.860278167670147,-0.00836141674976532,-0.019833310667776,-0.0902110949884082,0.0670537773983314,"LEMA","All","class","group"
"25",0.858786639017518,-0.0408746853536945,-0.0152323694475918,0.071491617275121,0.0990144435112958,"LEMA","All","class","group"
"26",0.85144054182055,-0.101973404767494,0.0151070272183238,0.0759160677425824,0.100320036137885,"LEMA","All","class","group"
"27",0.839618154794379,-0.0551441608072746,0.0798958772646676,0.0833524396743217,0.134032645708086,"LEMA","All","class","group"
"28",0.853039949129475,-0.158401010006669,-0.0246627787036358,-0.0756797928245031,0.155597997749215,"LEMA","All","class","group"
"29",0.856139040777917,-0.0388001899997593,0.00535278908528425,0.00333924465067153,0.0984327252088789,"LEMA","All","class","group"
"30",0.861633994076907,-0.245119259325295,-0.0236817693867264,-0.0586682516872424,0.17014906742548,"LEMA","All","class","group"
"31",0.859024814933985,-0.0994194000495827,-0.0422824210955087,0.0286154533577828,0.0385839226758151,"LEMA","All","class","group"
"32",0.849298789127657,-0.0777972581262145,0.0436467081762881,0.0859412092646647,0.106142305413484,"LEMA","All","class","group"
"33",0.84386249911054,-0.135897729063797,-0.00697447482888469,0.0592219754351285,0.15768920364814,"LEMA","All","class","group"
"34",0.859269049023181,-0.17188771402956,-0.00286176915239078,0.152029637982589,-0.00431316195445963,"LEMA","All","class","group"
"35",0.857113020030047,0.0325583262163891,-0.0232846708926263,-0.0883422954957969,0.115194961707541,"LEMA","All","class","group"
"36",0.856195715588458,-0.121904734316407,-0.0256003938568071,0.077093275652268,0.153126755131586,"LEMA","All","class","group"
"37",0.847296855256665,0.0677137043611289,-0.00426063788024211,0.0281464958783862,0.0192292466938097,"LEMA","All","class","group"
"38",0.855378503017627,-0.0438606194401403,0.000175913758474033,0.0858626346758318,-0.00425397098823176,"LEMA","All","class","group"
"39",0.859892814106704,-0.229673085307808,0.00913345160474877,0.0355583093212884,0.03482508902576,"LEMA","All","class","group"
"40",0.856056916587191,-0.0713839083779267,-0.00713795861978395,0.00155996266323677,0.0485154056780913,"LEMA","All","class","group"
"41",0.856273591368078,-0.0517227577767995,-0.030556612614237,0.065146385010356,0.0498604062226833,"LEMA","All","class","group"
"42",0.844242988896971,0.0166255023170898,-0.0158148630825632,-0.0451310277106879,0.110845096994711,"LEMA","All","class","group"
"43",0.86193743522847,-0.129970438783204,-0.102249373994712,0.0589224415928147,0.0577725619861013,"LEMA","All","class","group"
"44",0.855604299076885,0.027184052369104,-0.0368236932804263,0.0479503378070067,0.0657711078295884,"LEMA","All","class","group"
"45",0.846126626781357,0.0309319971276414,0.00404413235236323,-0.0330615528146819,0.114420590032833,"LEMA","All","class","group"
"46",0.849549333494844,0.124784431845979,0.000617009313181871,0.0750325665216461,0.0238691080061538,"LEMA","All","class","group"
"47",0.850429664297044,0.121249421667283,-0.0302072882794964,0.0957579491844286,0.0981876800277199,"LEMA","All","class","group"
"48",0.839368352600937,-0.105720313897083,0.0150843030261982,0.0485437899054142,0.180112493160787,"LEMA","All","class","group"
"49",0.852773552596131,-0.097241297479229,0.0225413941453758,-0.0103599501941404,0.0672893346672616,"LEMA","All","class","group"
"50",0.842350282238544,0.0780473134327324,-0.0230324561510101,0.0961486798051818,0.148534029566213,"LEMA","All","class","group"
"51",0.859212068644875,-0.0339261592916084,-0.0240875862940727,0.0190796475041404,0.0497015421163309,"LEMA","All","class","group"
"52",0.861852392849711,-0.229201560222147,-0.0333457849106379,-0.0187629054014013,0.0125594405065809,"LEMA","All","class","group"
"53",0.86283349819445,0.0895581932375276,0.00607164949613015,-0.122491192568157,0.161227603505514,"LEMA","All","class","group"
"54",0.864142621559923,-0.036531091765541,-0.0557443827196358,-0.046542590003038,0.170847558239816,"LEMA","All","class","group"
"55",0.849400972354669,-0.0919585616575684,-0.0218039656536643,0.0620252521209871,0.139756351849174,"LEMA","All","class","group"
