"","year","focal","complexity.plant","parameter","mean.estimate","var.estimate","median.estimate","complexity.animal","abund.sp.mean","abund.sp.median","abund.sp.max","abund.sp.min","mean.adjusted","median.adjusted","var.adjuster","focal.name"
"1","2019","CETE","Funct.Group","Intraspecific",-0.000367883440610714,0.000465757824341896,-0.00037657134170338,"group",0.512254901960784,0.5,1.33333333333333,0,-0.000188450095803038,-0.000192900515725506,0.000238586728645726,"Centaurium  
tenuiflorum"
"2","2019","CETE","Funct.Group","Plant - plant",-4.27173680155272e-05,9.61661456257949e-06,-4.21659426792509e-05,"group",1.69362745098039,1.25,5,0,-7.23473071047286e-05,-7.1413398018045e-05,1.62869624086824e-05,"Centaurium  
tenuiflorum"
"3","2019","CETE","Funct.Group","Plant - herbivore",-5.68194867640034e-05,1.2757491098229e-05,-3.43231277596434e-05,"group",0.825674019607843,0.260416666666667,5,0,-4.69143740284893e-05,-2.83397148628183e-05,1.0533528955186e-05,"Centaurium  
tenuiflorum"
"4","2019","CETE","Funct.Group","Plant - pollinator",-0.000257278864928783,0.0106381542286181,-0.000292647957818809,"group",0,0,0,0,0,0,0,"Centaurium  
tenuiflorum"
"5","2019","CETE","Family","Intraspecific",-0.000273238332306516,0.00045142794567811,-0.000541511973291386,"family",0.286764705882353,0.166666666666667,1.16666666666667,0,-7.83551099996626e-05,-0.000155286521752677,0.000129453602069458,"Centaurium  
tenuiflorum"
"6","2019","CETE","Family","Plant - plant",-2.29480095245829e-05,1.01712634710796e-05,-9.084339287313e-06,"family",1.69362745098039,1.25,5,0,-3.88653788761931e-05,-1.5385486391013e-05,1.72263310257744e-05,"Centaurium  
tenuiflorum"
"7","2019","CETE","Family","Plant - herbivore",2.58835921093365e-05,1.34328228133052e-05,6.6471249121567e-05,"family",0.825674019607843,0.260416666666667,5,0,2.13714095388057e-05,5.48835834505585e-05,1.10911328069416e-05,"Centaurium  
tenuiflorum"
"8","2019","CETE","Family","Plant - pollinator",-9.82779296358295e-05,0.00968676654292777,-0.00113212985568128,"family",0,0,0,0,0,0,0,"Centaurium  
tenuiflorum"
"9","2019","CETE","Species","Intraspecific",-1.61738702924113e-06,0.000457922805216563,5.07187222129613e-05,"species",0,0,0,0,0,0,0,"Centaurium  
tenuiflorum"
"10","2019","CETE","Species","Plant - plant",2.91833519119842e-05,9.78804405378209e-06,1.63229816505516e-05,"species",1.69362745098039,1.25,5,0,4.94257259097575e-05,2.76450498052235e-05,1.65773001008907e-05,"Centaurium  
tenuiflorum"
"11","2019","CETE","Species","Plant - herbivore",2.00273954867969e-05,1.25575957874547e-05,4.00331565188908e-05,"species",0.825674019607843,0.260416666666667,5,0,1.65361001338595e-05,3.30543372605425e-05,1.03684805904382e-05,"Centaurium  
tenuiflorum"
"12","2019","CETE","Species","Plant - pollinator",0.00114491112203841,0.0102757702295944,0.00191391327228163,"species",0,0,0,0,0,0,0,"Centaurium  
tenuiflorum"
"13","2020","CETE","Funct.Group","Intraspecific",0.0648129110622573,0.00229108996032682,0.0654964656783992,"group",1.26737967914438,1,4,0,0.0821425664264973,0.0830088896565808,0.00290368085880992,"Centaurium  
tenuiflorum"
"14","2020","CETE","Funct.Group","Plant - plant",-0.0345143827393547,0.000797367032520668,-0.0349098205485385,"group",2.02139037433155,2,5,0,-0.0697670410453266,-0.0705663752264576,0.00161179004434659,"Centaurium  
tenuiflorum"
"15","2020","CETE","Funct.Group","Plant - herbivore",-0.0474127083543614,0.00288738103453078,-0.048085576804311,"group",0.106951871657754,0,5,0,-0.00507087789886218,-0.00514284243896374,0.000308810805832168,"Centaurium  
tenuiflorum"
"16","2020","CETE","Funct.Group","Plant - pollinator",0.0241913196276102,0.000974403101839577,0.0232195827506863,"group",0.280748663101604,0,5,0,0.00679168064411517,0.00651886681503223,0.000273562368163517,"Centaurium  
tenuiflorum"
"17","2020","CETE","Family","Intraspecific",0.0335206165414517,0.00182785134861828,0.0336465862743428,"family",0.1524064171123,0,2,0,0.00510875706647793,0.00512795566213246,0.000278576275056796,"Centaurium  
tenuiflorum"
"18","2020","CETE","Family","Plant - plant",-0.0383011329052303,0.000757845515416582,-0.0380300009059675,"family",2.02139037433155,2,5,0,-0.077421541380626,-0.0768734777671429,0.00153190163009341,"Centaurium  
tenuiflorum"
"19","2020","CETE","Family","Plant - herbivore",-0.0470933751318,0.00332480091324187,-0.049364215105566,"family",0.106951871657754,0,5,0,-0.00503672461302674,-0.00527959519845626,0.000355593680560627,"Centaurium  
tenuiflorum"
"20","2020","CETE","Family","Plant - pollinator",0.024759567777098,0.000930693963907821,0.0245140699729966,"family",0.280748663101604,0,5,0,0.00695121555239381,0.00688229237209797,0.000261291086123853,"Centaurium  
tenuiflorum"
"21","2020","CETE","Species","Intraspecific",0.0298655480890465,0.00134718243242421,0.0306174693387701,"species",0.00267379679144384,0,0.5,0,7.98544066552045e-05,8.18648912801339e-05,3.60209206530536e-06,"Centaurium  
tenuiflorum"
"22","2020","CETE","Species","Plant - plant",-0.0254231685754321,0.00068192950060078,-0.0254832716664174,"species",2.02139037433155,2,5,0,-0.0513901482433868,-0.051511640052972,0.00137844572848714,"Centaurium  
tenuiflorum"
"23","2020","CETE","Species","Plant - herbivore",-0.00964055041281702,0.00135699694887896,-0.0101146963917563,"species",0.160427807486631,0,5,0,-0.00154661236569257,-0.00162267856552239,0.0002177000452747,"Centaurium  
tenuiflorum"
