"","beetle","bug","caterpillar","grasshopper","snail","trip"
"beetle",0,0,0,0,0,0
"bug",0,0,0,0,0,0
"caterpillar",0,0,0,0,0,0
"grasshopper",0,0,0,0,0,0
"snail",0,0,0,0,0,0
"trip",0,0,0,0,0,0
