focal,plot,year,complexity,nobs,Moran.I,statistic,observedrank,alternativeH,npermutation,pvalue,significance
HOMA,1,2019,code.plant,36,-0.054861302,-0.054861302,3,less,99,0.03,*
HOMA,2,2019,code.plant,36,-0.025705179,-0.025705179,61,less,99,0.61,
HOMA,3,2019,code.plant,36,-0.031064099,-0.031064099,47,less,99,0.47,
HOMA,4,2019,code.plant,36,-0.042687807,-0.042687807,18,less,99,0.18,
HOMA,5,2019,code.plant,36,-0.019673978,-0.019673978,77,less,99,0.77,
HOMA,6,2019,code.plant,36,-0.015669719,-0.015669719,87,less,99,0.87,
HOMA,8,2019,code.plant,8,-0.142857143,-0.142857143,65,less,99,0.65,
HOMA,9,2019,code.plant,20,-0.077743465,-0.077743465,4,less,99,0.04,*
HOMA,1,2020,class,20,-0.049100651,-0.049100651,62,less,99,0.62,
HOMA,2,2020,class,11,-0.104238194,-0.104238194,54,less,99,0.54,
HOMA,3,2020,class,32,-0.039656517,-0.039656517,21,less,99,0.21,
HOMA,4,2020,class,34,-0.019076636,-0.019076636,82,less,99,0.82,
HOMA,5,2020,class,34,-0.027989177,-0.027989177,64,less,99,0.64,
HOMA,7,2020,class,23,-0.06097592,-0.06097592,14,less,99,0.14,
HOMA,8,2020,class,26,-0.014392097,-0.014392097,88,less,99,0.88,
HOMA,1,2020,family,20,-0.049157866,-0.049157866,56,less,99,0.56,
HOMA,2,2020,family,11,-0.103634108,-0.103634108,47,less,99,0.47,
HOMA,3,2020,family,32,-0.039260108,-0.039260108,32,less,99,0.32,
HOMA,4,2020,family,34,-0.019474592,-0.019474592,84,less,99,0.84,
HOMA,5,2020,family,34,-0.02751896,-0.02751896,65,less,99,0.65,
HOMA,7,2020,family,23,-0.060809958,-0.060809958,11,less,99,0.11,
HOMA,8,2020,family,26,-0.012903799,-0.012903799,92,less,99,0.92,
HOMA,1,2020,code.plant,20,-0.0468699,-0.0468699,64,less,99,0.64,
HOMA,2,2020,code.plant,11,-0.107658215,-0.107658215,49,less,99,0.49,
HOMA,3,2020,code.plant,32,-0.039489493,-0.039489493,34,less,99,0.34,
HOMA,4,2020,code.plant,34,-0.019125946,-0.019125946,80,less,99,0.8,
HOMA,5,2020,code.plant,34,-0.028919858,-0.028919858,54,less,99,0.54,
