"","abundant","rare","CHFU","year"
"1",0,0,0,"2017"
"2",0,0,0,"2017"
"3",0,0,0,"2017"
"4",0,0,0,"2019"
"5",0,0,0,"2019"
"6",0,0,0,"2019"
