"","Amaranthaceae","Asteraceae","Caryophyllaceae","Fabaceae","Gentianaceae","Plantaginaceae","Poacea","Poaceae","Ranunculuc","CHFU","year"
"1","1","0","0","0","0","1","0","0","0","0","2017"
"2","0","0","0","0","0","0","0","0","0","0","2019"
