,parameter,true.detection,should.detected,should.NOT.detected,total.param,probability.of.detection,probability.of.WRONG.detection
1,HOI.plant,791,827,57,2700,0.956469166,0.021111111
2,plant.her,230,413,58,540,0.556900726,0.107407407
3,plant.plant,245,379,41,540,0.646437995,0.075925926
4,plant.pol,388,388,151,540,1,0.27962963
