"","beetle","bug","caterpillar","grasshopper","snail","trip"
"bee",0,0,0,0,0,0
"beetle",0,0,0,0,0,0
"butterfly",0,0,0,0,0,0
"fly",0,0,0,0,0,0
"wasp",0,0,0,0,0,0
